9;8;8;8;8;8;8;8;8;8;8;8;8;8;8;9
8;15;-1;-1;-1;-1;9;14;14;9;-1;-1;-1;-1;15;8
8;11;-1;-1;-1;35;-1;-1;-1;-1;-1;-1;-1;-1;12;8
8;11;-1;-1;9;-1;-1;-1;-1;-1;-1;9;38;-1;11;8
8;10;-1;-1;10;-1;-1;-1;-1;-1;-1;12;-1;-1;12;8
8;-1;34;-1;11;-1;9;14;14;9;-1;11;-1;-1;-1;8
8;-1;47;-1;10;-1;9;14;13;9;-1;11;-1;45;-1;8
8;12;-1;-1;12;-1;-1;-1;-1;-1;-1;10;-1;-1;10;8
8;11;-1;-1;9;-1;-1;-1;-1;-1;-1;9;-1;-1;10;8
8;10;-1;-1;-1;35;-1;-1;-1;-1;-1;-1;-1;-1;12;8
8;15;-1;-1;-1;-1;9;13;14;9;-1;-1;-1;-1;15;8
9;8;8;8;8;8;8;8;8;8;8;8;8;8;8;9
