50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50
-1;-1;-1;-1;-1;17;-1;-1;-1;-1;17;17;-1;-1;18;44
-1;34;-1;-1;-1;17;-1;-1;-1;-1;-1;16;-1;17;17;-1
-1;-1;-1;-1;-1;-1;-1;-1;-1;35;-1;16;-1;-1;17;-1
-1;-1;-1;17;-1;-1;17;17;17;17;-1;-1;-1;-1;17;-1
36;17;17;17;-1;-1;-1;-1;16;-1;-1;-1;36;-1;-1;-1
-1;-1;-1;-1;-1;-1;-1;-1;16;-1;-1;-1;-1;-1;-1;-1
-1;-1;-1;-1;-1;17;17;16;16;17;-1;-1;-1;-1;-1;36
-1;-1;-1;-1;-1;17;-1;-1;-1;17;17;16;16;-1;-1;-1
-1;-1;-1;17;17;17;-1;-1;38;-1;-1;-1;-1;-1;-1;-1
-1;47;-1;17;45;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
-1;-1;-1;16;16;16;17;17;17;17;-1;-1;-1;-1;-1;-1
