50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50
50;-1;-1;4;-1;-1;4;4;4;4;4;4;-1;-1;-1;50
50;-1;-1;-1;-1;34;4;5;-1;-1;45;4;-1;47;-1;50
50;-1;-1;4;4;4;4;-1;-1;-1;-1;4;-1;-1;-1;50
50;-1;-1;-1;-1;-1;4;-1;-1;4;4;4;5;-1;-1;50
50;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;5;5;-1;50
50;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;5;38;50
50;5;5;-1;-1;-1;35;-1;-1;-1;-1;-1;-1;-1;-1;50
50;43;5;-1;5;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;50
50;-1;-1;-1;5;-1;-1;-1;-1;-1;-1;4;-1;-1;-1;50
50;-1;-1;-1;5;5;-1;-1;-1;-1;-1;4;4;-1;-1;50
50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50
