9;8;8;8;8;8;8;8;8;8;8;8;8;8;8;9
8;-1;-1;-1;-1;-1;-1;-1;-1;15;15;8;15;-1;15;8
8;-1;-1;-1;-1;-1;-1;-1;-1;-1;15;9;-1;47;-1;8
8;-1;36;9;14;14;9;-1;-1;-1;-1;10;-1;-1;-1;8
8;-1;-1;-1;-1;-1;10;-1;-1;-1;-1;10;-1;-1;-1;8
8;15;-1;-1;-1;45;11;-1;-1;37;-1;11;-1;-1;-1;8
8;15;15;-1;-1;-1;10;-1;-1;-1;-1;11;-1;36;-1;8
8;8;9;14;14;14;9;-1;-1;-1;-1;9;-1;-1;-1;8
8;15;15;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;8
8;15;34;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;15;8
8;15;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;15;8
9;8;8;8;8;8;8;8;8;8;8;8;8;8;8;9
